Feature,Age,Gender (Male),Polyuria,Polydipsia,Sudden Weight Loss,Weakness,Polyphagia,Genital Thrush,Visual Blurring,Itching,Irritability,Delayed Healing,Partial Paresis,Muscle Stiffness,Alopecia,Obesity,Diabetes (Target)
Age,1.0,0.063,0.2,0.137,0.065,0.225,0.316,0.097,0.403,0.297,0.202,0.258,0.233,0.308,0.322,0.14,0.109
Gender (Male),0.063,1.0,-0.269,-0.312,-0.282,-0.124,-0.22,0.209,-0.208,-0.052,-0.014,-0.102,-0.332,-0.091,0.328,-0.005,-0.449
Polyuria,0.2,-0.269,1.0,0.599,0.447,0.263,0.374,0.087,0.235,0.088,0.238,0.15,0.442,0.153,-0.144,0.127,0.666
Polydipsia,0.137,-0.312,0.599,1.0,0.406,0.332,0.317,0.028,0.331,0.129,0.203,0.116,0.442,0.181,-0.311,0.099,0.649
Sudden Weight Loss,0.065,-0.282,0.447,0.406,1.0,0.283,0.244,0.09,0.069,-0.005,0.14,0.088,0.264,0.11,-0.203,0.169,0.437
Weakness,0.225,-0.124,0.263,0.332,0.283,1.0,0.18,0.028,0.301,0.309,0.147,0.336,0.273,0.263,0.09,0.046,0.243
Polyphagia,0.316,-0.22,0.374,0.317,0.244,0.18,1.0,-0.064,0.294,0.144,0.239,0.264,0.374,0.32,-0.053,0.03,0.343
Genital Thrush,0.097,0.209,0.087,0.028,0.09,0.028,-0.064,1.0,-0.148,0.125,0.161,0.136,-0.196,-0.1,0.205,0.054,0.11
Visual Blurring,0.403,-0.208,0.235,0.331,0.069,0.301,0.294,-0.148,1.0,0.291,0.077,0.178,0.364,0.412,0.015,0.109,0.251
Itching,0.297,-0.052,0.088,0.129,-0.005,0.309,0.144,0.125,0.291,1.0,0.114,0.453,0.117,0.216,0.267,0.002,-0.013
Irritability,0.202,-0.014,0.238,0.203,0.14,0.147,0.239,0.161,0.077,0.114,1.0,0.127,0.152,0.202,0.044,0.128,0.299
Delayed Healing,0.258,-0.102,0.15,0.116,0.088,0.336,0.264,0.136,0.178,0.453,0.127,1.0,0.187,0.25,0.29,-0.066,0.047
Partial Paresis,0.233,-0.332,0.442,0.442,0.264,0.273,0.374,-0.196,0.364,0.117,0.152,0.187,1.0,0.233,-0.222,-0.009,0.432
Muscle Stiffness,0.308,-0.091,0.153,0.181,0.11,0.263,0.32,-0.1,0.412,0.216,0.202,0.25,0.233,1.0,0.041,0.159,0.122
Alopecia,0.322,0.328,-0.144,-0.311,-0.203,0.09,-0.053,0.205,0.015,0.267,0.044,0.29,-0.222,0.041,1.0,0.029,-0.268
Obesity,0.14,-0.005,0.127,0.099,0.169,0.046,0.03,0.054,0.109,0.002,0.128,-0.066,-0.009,0.159,0.029,1.0,0.072
Diabetes (Target),0.109,-0.449,0.666,0.649,0.437,0.243,0.343,0.11,0.251,-0.013,0.299,0.047,0.432,0.122,-0.268,0.072,1.0
