Feature,Type,Distinct_Count,Allowed_Values,Most_Frequent_Value,Frequency,Frequency_Percentage,Missing_Count,Role_In_Model
Age,Numerical (Continuous),51,"[np.int64(40), np.int64(58), np.int64(41), np.int64(45), np.int64(60), np.int64(55), np.int64(57), np.int64(66), np.int64(67), np.int64(70), np.int64(44), np.int64(38), np.int64(35), np.int64(61), np.int64(54), np.int64(43), np.int64(62), np.int64(39), np.int64(48), np.int64(32), np.int64(42), np.int64(52), np.int64(53), np.int64(37), np.int64(49), np.int64(63), np.int64(30), np.int64(50), np.int64(46), np.int64(36), np.int64(51), np.int64(59), np.int64(65), np.int64(25), np.int64(47), np.int64(28), np.int64(68), np.int64(56), np.int64(31), np.int64(85), np.int64(90), np.int64(72), np.int64(69), np.int64(79), np.int64(34), np.int64(16), np.int64(33), np.int64(64), np.int64(27), np.int64(29), np.int64(26)]",35,30,5.77,0,Demographic Predictor
Gender,Categorical (Binary),2,"['Male', 'Female']",Male,328,63.08,0,Demographic Predictor
Polyuria,Categorical (Binary),2,"['No', 'Yes']",No,262,50.38,0,Clinical Symptom Predictor
Polydipsia,Categorical (Binary),2,"['Yes', 'No']",No,287,55.19,0,Clinical Symptom Predictor
sudden weight loss,Categorical (Binary),2,"['No', 'Yes']",No,303,58.27,0,Clinical Symptom Predictor
weakness,Categorical (Binary),2,"['Yes', 'No']",Yes,305,58.65,0,Clinical Symptom Predictor
Polyphagia,Categorical (Binary),2,"['No', 'Yes']",No,283,54.42,0,Clinical Symptom Predictor
Genital thrush,Categorical (Binary),2,"['No', 'Yes']",No,404,77.69,0,Clinical Symptom Predictor
visual blurring,Categorical (Binary),2,"['No', 'Yes']",No,287,55.19,0,Clinical Symptom Predictor
Itching,Categorical (Binary),2,"['Yes', 'No']",No,267,51.35,0,Clinical Symptom Predictor
Irritability,Categorical (Binary),2,"['No', 'Yes']",No,394,75.77,0,Clinical Symptom Predictor
delayed healing,Categorical (Binary),2,"['Yes', 'No']",No,281,54.04,0,Clinical Symptom Predictor
partial paresis,Categorical (Binary),2,"['No', 'Yes']",No,296,56.92,0,Clinical Symptom Predictor
muscle stiffness,Categorical (Binary),2,"['Yes', 'No']",No,325,62.5,0,Clinical Symptom Predictor
Alopecia,Categorical (Binary),2,"['Yes', 'No']",No,341,65.58,0,Clinical Symptom Predictor
Obesity,Categorical (Binary),2,"['Yes', 'No']",No,432,83.08,0,Clinical Symptom Predictor
class,Categorical (Target),2,"['Positive', 'Negative']",Positive,320,61.54,0,Target Variable
